Issue Type,Issue key,Issue id,Summary,Status,Custom field (Epic Link),Custom field (Story Points)
Story,SSF-215,4347715,[BACK] Pending Hauls - GET to retrieve the pending hauls,Open,SSF-123,3.0
Story,SSF-214,4347714,[BACK] Add Catches - POST / PUT ,Open,SSF-123,3.0
Story,SSF-213,4347713,[BACK] Add Hauls - POST / PUT pour créer un haul,Open,SSF-123,3.0
Story,SSF-212,4347711,[MOB] Add hauls - Gear haul form screen,Open,SSF-123,3.0
Story,SSF-211,4347710,"[MOB]  Add Catches - Form weight, number of individual, size class, discarded",Open,SSF-123,2.0
Story,SSF-210,4347709,[MOB]  Add Catches - Review screen,Open,SSF-123,2.0
Story,SSF-209,4347708,"[MOB]  Add Catches - Form for discarded catches (reason, weight etc)",Open,SSF-123,3.0
Story,SSF-208,4347707,[MOB] Add catches - Form search species and select,Open,SSF-123,3.0
Story,SSF-207,4347706,[MOB] Add hauls - Gear set gear selection,Open,SSF-123,3.0
Story,SSF-206,4347705,[MOB] Add hauls - Gear set map view,Open,SSF-123,3.0
Story,SSF-205,4347704,[MOB] Hauls screen,Open,SSF-123,3.0
Story,SSF-203,4347578,[MOB] Implement Refresh Session,Open,SSF-96,2.0
Story,SSF-202,4346933,[MOB] Vessel selection screen Errors Management,Open,SSF-96,3.0
Story,SSF-201,4343727,[MOB] Créer un keystore pour signer l'application Android,To Deploy,SSF-84,1.0
Story,SSF-200,4343725,[MOB] Tech : Ajouter Crashlytics,Open,SSF-84,1.0
Story,SSF-199,4341953,[MOB] Testers information / Setup,To Deploy,SSF-84,
Story,SSF-196,4336078,[MOB] Catches preference,Open,SSF-122,3.0
Story,SSF-195,4336074,[MOB] Declare Catches onboard,Open,SSF-122,5.0
Story,SSF-194,4336071,[MOB] Submit Departure Declaration,Open,SSF-122,2.0
Story,SSF-193,4336068,[MOB] Departure Declaration Recap Screen,Open,SSF-122,3.0
Story,SSF-192,4336067,[BACK] Submit Departure Declaration,Open,SSF-122,3.0
Story,SSF-191,4336065,[MOB] Gears onboard,Open,SSF-122,5.0
Story,SSF-190,4336063,[BACK] Data import endpoint,Open,SSF-122,5.0
